Idioma,Nombre idioma,Grupo/página,Ruta exacta,ID hallazgo,Prioridad,Clasificación,Error o incoherencia,Valor actual,Valor correcto/esperado,Corrección a realizar,Evidencia,Estado,Fuente
CA,Catalán,BIKE,cat/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
CA,Catalán,BLOG_50CC_VS_125CC,cat/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
CA,Catalán,BLOG_BEGINNER_INLINE,cat/blog/patinar-linia-barcelona-principiants/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
CA,Catalán,BLOG_BEST_ROUTES,cat/blog/best-rollerblading-routes-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
CA,Catalán,BLOG_BIKE,cat/blog/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
CA,Catalán,BLOG_HOURLY_INLINE_RENTAL,cat/blog/lloguer-patins-linia-barcelona-per-hores/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
CA,Catalán,BLOG_INDEX,cat/blog/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
CA,Catalán,BLOG_INLINE_SKATES,cat/blog/inline-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
CA,Catalán,BLOG_LONGBOARD,cat/blog/longboard/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
CA,Catalán,BLOG_ROLLER_SKATES,cat/blog/roller-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
