Idioma,Grupo,Ruta,Incidencias dimensiones,Correcciones dimensiones,No-imagen auditoría,Decisión operativa
CA,BIKE,cat/bike/index.html,1,rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,BLOG_50CC_VS_125CC,cat/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,1,rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x936,Ninguno,Sin cambio no-imagen
CA,BLOG_BEGINNER_INLINE,cat/blog/patinar-linia-barcelona-principiants/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
CA,BLOG_BEST_ROUTES,cat/blog/best-rollerblading-routes-barcelona/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
CA,BLOG_BIKE,cat/blog/bike/index.html,1,rsb-bike-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,BLOG_HOURLY_INLINE_RENTAL,cat/blog/lloguer-patins-linia-barcelona-per-hores/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
CA,BLOG_INDEX,cat/blog/index.html,1,rsb-barcelona-rental-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874,Ninguno,Sin cambio no-imagen
CA,BLOG_INLINE_SKATES,cat/blog/inline-skates/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,BLOG_LONGBOARD,cat/blog/longboard/index.html,1,rsb-longboard-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x478,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,BLOG_ROLLER_SKATES,cat/blog/roller-skates/index.html,1,rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,BLOG_SCOOTER,cat/blog/scooter/index.html,1,rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x936,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,BLOG_SKATEBOARD,cat/blog/skateboard/index.html,1,rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x360,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,HOME,cat/index.html,9,rsb-barcelona-rental-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | 9.webp: 800x600 -> 300x300 | skateboards-rental-barcelona.webp: 800x600 -> 514x510 | 2.webp: 800x600 -> 400x400 | rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp: 800x600 -> 800x1200 | 9.webp: 800x600 -> 300x300 | skateboards-rental-barcelona.webp: 800x600 -> 514x510 | 2.webp: 800x600 -> 400x400 | rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp: 800x600 -> 800x1200,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,LOCATION_CONTACT,cat/location-contact/index.html,1,rsb-rental-scooter-barcelona-shop-vila-olimpica.webp: 1200x800 -> 585x594,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,LONGBOARD,cat/longboard/index.html,3,rsb-longboard-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x1066 | rsb-longboard-rental-barcelona-vila-olimpica-800.webp: 1200x675 -> 800x478 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,PRICES,cat/Prices/index.html,6,rsb-barcelona-rental-hero-group-beach-800-v1.webp: 800x449 -> 800x437 | rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 800x533 -> 800x936 | rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 800x533 -> 800x360 | rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-640.webp: 1200x800 -> 640x336 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720 | rsb-barcelona-rental-hero-group-beach-800-v1.webp: 1600x899 -> 800x437,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,QUADS,cat/quads/index.html,1,rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,ROLLERBLADES,cat/rollerblades/index.html,3,rsb-rollerblades-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | rsb-rollerblades-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,SCOOTER,cat/scooter/index.html,2,rsb-scooter-rental-barcelona-hero-group-v1-1536.webp: 1536x864 -> 1536x672 | rsb-rental-scooter-barcelona-shop-vila-olimpica.webp: 1200x675 -> 585x594,RSB-003,No cambiar HTML/key; API restringida confirmada
CA,SKATEBOARD,cat/skateboard/index.html,3,rsb-skateboard-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x1066 | rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 1200x675 -> 800x360 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
