Idioma,Nombre idioma,Grupo/página,Ruta exacta,ID hallazgo,Prioridad,Clasificación,Error o incoherencia,Valor actual,Valor correcto/esperado,Corrección a realizar,Evidencia,Estado,Fuente
ES,Español,BIKE,es/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
ES,Español,BLOG_50CC_VS_125CC,es/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
ES,Español,BLOG_BEGINNER_INLINE,es/blog/patinar-en-barcelona-principiantes/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
ES,Español,BLOG_BEST_ROUTES,es/blog/best-rollerblading-routes-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
ES,Español,BLOG_BIKE,es/blog/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
ES,Español,BLOG_HOURLY_INLINE_RENTAL,es/blog/alquiler-patines-linea-barcelona-por-horas/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
ES,Español,BLOG_INDEX,es/blog/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
ES,Español,BLOG_INLINE_SKATES,es/blog/inline-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
ES,Español,BLOG_LONGBOARD,es/blog/longboard/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
ES,Español,BLOG_ROLLER_SKATES,es/blog/roller-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
