Idioma,Grupo,Ruta,Incidencias dimensiones,Correcciones dimensiones,No-imagen auditoría,Decisión operativa
FR,BIKE,fr/bike/index.html,1,rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,BLOG_50CC_VS_125CC,fr/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,1,rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x936,Ninguno,Sin cambio no-imagen
FR,BLOG_BEGINNER_INLINE,fr/blog/roller-en-ligne-debutants-barcelone/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
FR,BLOG_BEST_ROUTES,fr/blog/best-rollerblading-routes-barcelona/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
FR,BLOG_BIKE,fr/blog/bike/index.html,1,rsb-bike-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,BLOG_HOURLY_INLINE_RENTAL,fr/blog/location-rollers-en-ligne-barcelone-heure/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
FR,BLOG_INDEX,fr/blog/index.html,1,rsb-barcelona-rental-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874,Ninguno,Sin cambio no-imagen
FR,BLOG_INLINE_SKATES,fr/blog/inline-skates/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,BLOG_LONGBOARD,fr/blog/longboard/index.html,1,rsb-longboard-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x478,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,BLOG_ROLLER_SKATES,fr/blog/roller-skates/index.html,1,rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,BLOG_SCOOTER,fr/blog/scooter/index.html,1,rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x936,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,BLOG_SKATEBOARD,fr/blog/skateboard/index.html,1,rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x360,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,HOME,fr/index.html,9,rsb-barcelona-rental-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | 9.webp: 800x600 -> 300x300 | skateboards-rental-barcelona.webp: 800x600 -> 514x510 | 2.webp: 800x600 -> 400x400 | rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp: 800x600 -> 800x1200 | 9.webp: 800x600 -> 300x300 | skateboards-rental-barcelona.webp: 800x600 -> 514x510 | 2.webp: 800x600 -> 400x400 | rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp: 800x600 -> 800x1200,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,LOCATION_CONTACT,fr/location-contact/index.html,1,rsb-rental-scooter-barcelona-shop-vila-olimpica.webp: 1200x800 -> 585x594,RSB-003,No cambiar HTML/key; API restringida confirmada
FR,LONGBOARD,fr/longboard/index.html,3,rsb-longboard-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x1066 | rsb-longboard-rental-barcelona-vila-olimpica-800.webp: 1200x675 -> 800x478 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
