idioma,html,entradas_totales,sha256_prompt_github
EN,20,48,e27a841726edfa67847b34eb70792dc95838e586d15b842bbb89492c99e4453e
ES,20,49,bdadef0b00b4e7f614b3ed2b88ebbb490c08711142898684966d7168e0e12605
FR,20,49,cba8f62b8197aba78d504a12a204aaa46f8ec23399c52149448780203a20f5fd
IT,20,49,f32b53486fb9c8c5bcde6f7037f91a61675e0d9f21cfd4cb82c4e00a53a45146
DE,20,49,33816acecf3280874fe725253ef1a51b9853e0a8e7db5771fa4156292152471a
NL,20,49,4176f9bad8911ef10582c8da7a12e10869e2a2e82b8fe68b299d2b7d5feb4f0e
PT,20,49,fa992219b508e0452b409eecbc238b61845c1c0fe95a333f21f49bb178a5b3a8
CA,20,49,3f6a633d409efaece65b650170a0b3bf07f6845c2d2bab4da9b06701c7b48531
SV,20,49,a0b2cf0288a1fe1f760d3ab84e4c2a3ab35e0d1ae4d0145f5cb09209795ec003
PL,20,49,fa209ba121bfa0504b3b1e7f3e71d104924b292eb556b9ee73895eb2e607845e
